trade_date,close_price,portfolio_value_PPO_RawPrice,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_PPO_RawPrice
2024-04-16,169.380005,155.43932235206944,155.3991767120021,162.1417665214799,161.89800906164479,141.06666048931402,144.96244214571678,169.380005,11.68932235206944
2024-04-29,173.5,159.22022453644422,155.3991767120021,162.1417665214799,161.89800906164479,141.06666048931402,144.96244214571678,173.5,15.47022453644422
2024-04-30,170.330002,156.31113062670315,152.5598967155831,162.1417665214799,161.89800906164479,141.06666048931402,144.96244214571678,170.330002,12.561130626703147
2024-05-01,169.300003,155.3659048511855,152.5598967155831,162.1417665214799,161.89800906164479,141.06666048931402,144.96244214571678,169.300003,11.61590485118549
2024-05-02,173.029999,158.7889065839811,152.5598967155831,162.1417665214799,161.89800906164479,141.06666048931402,144.96244214571678,173.029999,15.038906583981088
2024-05-03,183.380005,168.28706381322343,152.5598967155831,171.84047926520427,161.89800906164479,141.06666048931402,144.96244214571678,183.380005,24.537063813223426
2024-05-06,181.710007,168.28706381322343,151.17057009627567,170.27556897581945,161.89800906164479,139.78200003309996,144.96244214571678,181.710007,24.537063813223426
2024-05-07,182.399994,168.28706381322343,151.7445931226961,170.92213726862087,161.89800906164479,140.31277852157822,144.96244214571678,182.399994,24.537063813223426
2024-05-08,182.740005,168.60076696419063,152.02745952921717,171.24075244804263,161.89800906164479,140.57433493444688,144.96244214571678,182.740005,24.850766964190626
2024-05-09,184.570007,168.60076696419063,153.5498987728485,172.95559819001045,163.51929434276772,141.9820798564124,146.41413062001416,184.570007,24.850766964190626
2024-05-10,183.050003,168.60076696419063,152.28535712749695,171.531243250959,162.172650944319,140.8128035865683,145.20835473141628,183.050003,24.850766964190626
2024-05-13,186.279999,168.60076696419063,154.9724977247052,171.531243250959,165.0342570916816,143.2975060442536,145.20835473141628,186.279999,24.850766964190626
2024-05-14,187.429993,169.64161875421138,155.92921580235787,171.531243250959,166.05309113972072,144.18214891010336,145.20835473141628,187.429993,25.89161875421138
2024-05-15,189.720001,171.71428950376477,157.83434926528835,171.531243250959,168.08191748201637,145.9437574401817,145.20835473141628,189.720001,27.964289503764775
2024-05-16,189.839996,171.71428950376477,157.93417707806645,171.63973413977098,168.1882267250163,146.03606463542593,145.30019679569077,189.839996,27.964289503764775
2024-05-17,189.869995,171.7414242334285,157.95913423924424,171.63973413977098,168.2148042572531,146.05914162655162,145.30019679569077,189.869995,27.99142423342849
2024-05-20,191.039993,172.7997121575961,158.9324943067033,171.63973413977098,169.25136079453736,146.95917274302573,145.30019679569077,191.039993,29.049712157596105
