trade_date,close_price,portfolio_value_A2C_Advanced,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_A2C_Advanced
2021-05-26,126.849998,68.7128037056268,60.44655145385802,38.41074001264776,57.597828273144664,59.20398261083506,26.31373652202549,126.849998,39.6428037056268
2021-05-27,125.279999,68.7128037056268,60.44655145385802,38.41074001264776,57.597828273144664,59.20398261083506,26.31373652202549,125.279999,39.6428037056268
2021-05-28,124.610001,68.7128037056268,60.44655145385802,38.41074001264776,57.597828273144664,59.20398261083506,26.31373652202549,124.610001,39.6428037056268
2021-06-01,124.279999,68.7128037056268,60.44655145385802,38.41074001264776,57.597828273144664,59.20398261083506,26.31373652202549,124.279999,39.6428037056268
2021-06-02,125.059998,68.7128037056268,60.44655145385802,38.41074001264776,57.597828273144664,59.20398261083506,26.31373652202549,125.059998,39.6428037056268
2021-06-03,123.540001,68.7128037056268,60.44655145385802,38.41074001264776,57.597828273144664,59.20398261083506,26.31373652202549,123.540001,39.6428037056268
2021-06-04,125.889999,68.7128037056268,60.44655145385802,38.41074001264776,57.597828273144664,59.20398261083506,26.31373652202549,125.889999,39.6428037056268
2021-06-07,125.900002,68.71826350530054,60.44655145385802,38.41074001264776,57.597828273144664,59.20398261083506,26.31373652202549,125.900002,39.64826350530054
2021-06-08,126.739998,68.71826350530054,60.44655145385802,38.66701378115543,57.597828273144664,59.20398261083506,26.31373652202549,126.739998,39.64826350530054
2021-06-09,127.129997,68.71826350530054,60.44655145385802,38.7859982923248,57.597828273144664,59.38616262013444,26.31373652202549,127.129997,39.64826350530054
2021-06-10,126.110001,68.71826350530054,60.44655145385802,38.474808454774674,57.597828273144664,58.909692473376815,26.31373652202549,126.110001,39.64826350530054
2021-06-11,127.349998,68.71826350530054,60.44655145385802,38.474808454774674,57.597828273144664,59.488931561146785,26.31373652202549,127.349998,39.64826350530054
2021-06-14,130.479996,70.40721545436193,60.44655145385802,39.420439200005056,57.597828273144664,60.95104573258577,26.31373652202549,130.479996,41.33721545436193
2021-06-15,129.639999,69.95395172372832,60.057411942529505,39.16666044707892,57.597828273144664,60.55865841551201,26.31373652202549,129.639999,40.88395172372832
2021-06-16,130.149994,70.22914584502219,60.29367374475021,39.32073944390696,57.597828273144664,60.79689208750254,26.31373652202549,130.149994,41.15914584502219
2021-06-17,131.789993,71.11409194003846,61.0534245646213,39.81621371467234,57.597828273144664,61.56298388022758,26.31373652202549,131.789993,42.04409194003846
2021-06-18,130.460007,70.39642935785011,60.437291290200356,39.414400150470065,57.597828273144664,60.94170828247465,26.31373652202549,130.460007,41.32642935785011
2021-06-21,132.300003,71.38929415535642,61.289693315786664,39.414400150470065,57.597828273144664,61.80122455915951,26.31373652202549,132.300003,42.319294155356424
2021-06-22,133.979996,72.29582107702203,62.06797187518071,39.914898373073946,57.597828273144664,62.5859987261776,26.31373652202549,133.979996,43.225821077022026
2021-06-23,133.699997,72.14473316681082,61.938258704737876,39.831481952987154,57.597828273144664,62.45520295381968,26.31373652202549,133.699997,43.07473316681082
2021-06-24,133.410004,71.98825247814452,61.80391568409769,39.831481952987154,57.597828273144664,62.31973868997091,26.31373652202549,133.410004,42.91825247814452
2021-06-25,133.110001,71.98825247814452,61.66493540105254,39.831481952987154,57.597828273144664,62.179598460560484,26.31373652202549,133.110001,42.91825247814452
2021-06-28,134.779999,71.98825247814452,62.43858364698626,39.831481952987154,57.597828273144664,62.9597036689583,26.31373652202549,134.779999,42.91825247814452
2021-06-29,136.330002,72.81613501363765,63.15664265193239,39.831481952987154,58.26021740565133,63.683755681794395,26.31373652202549,136.330002,43.74613501363765
2021-06-30,136.960007,73.15263122478908,63.44850064408536,40.015550260913905,58.52944815257559,63.97804955628805,26.43533694258118,136.960007,44.082631224789075
2021-10-08,142.899994,76.32527766376772,66.20027670814001,41.75103387802321,61.06788377884913,66.7527922784442,27.581843585060778,142.899994,47.25527766376772
2021-10-11,142.809998,76.32527766376772,66.20027670814001,41.75103387802321,61.06788377884913,66.7527922784442,27.581843585060778,142.809998,47.25527766376772
2021-10-12,141.509995,75.63048674346584,66.20027670814001,41.75103387802321,61.06788377884913,66.7527922784442,27.581843585060778,141.509995,46.56048674346584
2021-10-13,140.910004,75.63048674346584,66.20027670814001,41.75103387802321,61.06788377884913,66.7527922784442,27.581843585060778,140.910004,46.56048674346584
2021-10-14,143.759995,75.63048674346584,66.20027670814001,41.75103387802321,61.06788377884913,66.7527922784442,27.581843585060778,143.759995,46.56048674346584
2021-10-15,144.839996,76.19866289924151,66.20027670814001,42.06468969262795,61.06788377884913,66.7527922784442,27.581843585060778,144.839996,47.12866289924151
2021-10-18,146.550003,77.09827799553261,66.20027670814001,42.561312972203446,61.06788377884913,67.54088773010166,27.581843585060778,146.550003,48.02827799553261
2021-10-19,148.759995,78.26092947349883,67.19858499150986,43.20314278627766,61.06788377884913,68.55941259192936,27.581843585060778,148.759995,49.190929473498834
