trade_date,close_price,position,action
2020-06-11,83.974998,FLAT,SELL
2020-06-12,84.699997,LONG,BUY
2020-06-17,87.897499,FLAT,SELL
2020-06-18,87.932503,LONG,BUY
2020-06-19,87.43,LONG,HOLD
2020-06-22,89.717499,LONG,HOLD
2020-06-23,91.6325,LONG,HOLD
2020-06-24,90.014999,FLAT,SELL
2020-06-25,91.209999,LONG,BUY
2020-06-26,88.407501,FLAT,SELL
2020-06-29,90.445,LONG,BUY
2020-06-30,91.199997,LONG,HOLD
2020-10-01,116.790001,FLAT,SELL
2020-10-02,113.019997,LONG,BUY
2020-10-05,116.5,LONG,HOLD
2020-10-06,113.160004,FLAT,SELL
2020-10-07,115.080002,FLAT,HOLD
2020-10-08,114.970001,FLAT,HOLD
2020-10-09,116.970001,LONG,BUY
2020-10-12,124.400002,LONG,HOLD
2020-10-13,121.099998,FLAT,SELL
2020-10-14,121.190002,FLAT,HOLD
2020-10-15,120.709999,LONG,BUY
2020-10-16,119.019997,FLAT,SELL
2020-10-19,115.980003,FLAT,HOLD
2020-11-05,119.029999,LONG,BUY
2020-11-06,118.690002,FLAT,SELL
2020-11-09,116.32,FLAT,HOLD
2020-11-10,115.970001,FLAT,HOLD
2020-11-11,119.489998,LONG,BUY
2020-11-12,119.209999,FLAT,SELL
2020-11-13,119.260002,FLAT,HOLD
2020-11-16,120.300003,LONG,BUY
2020-11-17,119.389999,LONG,HOLD
2020-11-18,118.029999,FLAT,SELL
2020-11-19,118.639999,LONG,BUY
2020-11-20,117.339996,FLAT,SELL
2020-11-23,113.849998,FLAT,HOLD
2020-12-01,122.720001,LONG,BUY
2020-12-02,123.080002,LONG,HOLD
2020-12-03,122.940002,LONG,HOLD
2020-12-04,122.25,FLAT,SELL
2020-12-07,123.75,LONG,BUY
2020-12-08,124.379997,LONG,HOLD
2020-12-09,121.779999,FLAT,SELL
2020-12-10,123.239998,LONG,BUY
2020-12-11,122.410004,LONG,HOLD
2020-12-14,121.779999,FLAT,SELL
