trade_date,close_price,portfolio_value_PPO_Paper,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_PPO_Paper
2023-03-22,157.830002,175.7989262311751,137.77697201835068,149.87458268794038,134.952727099128,145.2819532821964,137.62554229417682,157.830002,37.41892123117509
2023-03-23,158.929993,177.02415105670576,138.73720408644274,149.87458268794038,135.8932756852865,146.2944910699919,137.62554229417682,158.929993,38.64414605670575
2023-03-24,160.25,178.49444067387017,139.88949810658113,151.11937918315044,137.02194920858747,147.50955280018292,138.76860330977198,160.25,40.11443567387016
2023-03-27,158.279999,178.49444067387017,138.16979482321474,149.2616236255206,135.33749755827318,145.69617391390577,137.06267952013795,158.279999,40.11443567387016
2023-03-28,157.649994,178.49444067387017,137.61983486530747,149.2616236255206,134.7988110489992,145.11625656094552,137.06267952013795,157.649994,40.11443567387016
2023-03-29,160.770004,178.49444067387017,140.34343319908294,149.2616236255206,137.4665792346484,147.9882146254204,137.06267952013795,160.770004,40.11443567387016
2023-03-30,162.360001,180.25973033069033,141.7314137439876,150.73780405641557,138.82610802201694,149.4518011865663,138.41821378540413,162.360001,41.87972533069032
2023-03-31,164.899994,180.25973033069033,143.94868891381114,153.09597703486156,140.99793199603357,151.7898556735903,140.5836565787152,164.899994,41.87972533069032
2023-04-03,166.169998,181.64802982668,145.05733304581332,154.27507048721296,142.08385039592562,152.9588898208255,141.66638436941236,166.169998,43.26802482667998
2023-04-04,165.630005,181.05773876481095,144.5859486479908,153.7737317429133,141.62212875212538,152.46182819246218,141.20601934073377,165.630005,42.67773376481094
2023-04-05,163.759995,179.01354525006954,142.95353204671596,153.7737317429133,140.0231745228614,150.74049066465017,141.20601934073377,163.759995,40.63354025006953
2023-04-14,165.210007,179.01354525006954,144.21931333176133,153.7737317429133,141.26300897288226,152.07522153313627,141.20601934073377,165.210007,40.63354025006953
2023-04-17,165.229996,179.01354525006954,144.2367626370821,153.7737317429133,141.2801005906216,152.09362133626217,141.20601934073377,165.229996,40.63354025006953
2023-04-18,166.470001,179.01354525006954,145.31921928044966,153.7737317429133,142.34036831061158,153.2350415111139,141.20601934073377,166.470001,40.63354025006953
2023-04-19,167.630005,179.01354525006954,146.33183941999178,153.7737317429133,143.33223108234176,154.3028210511228,141.20601934073377,167.630005,40.63354025006953
2023-04-20,166.649994,179.01354525006954,145.47634333931202,152.87472831796498,142.4942715349729,153.40072442491834,140.3804902105513,166.649994,40.63354025006953
2023-04-21,165.020004,179.01354525006954,144.05345108958508,152.87472831796498,141.1005466863582,151.90032445007424,140.3804902105513,165.020004,40.63354025006953
2023-04-24,165.330002,179.34983078912717,144.32406241335445,152.87472831796498,141.36561083743942,152.18567650217378,140.3804902105513,165.330002,40.96982578912716
2023-04-25,163.770004,179.34983078912717,142.96226935708444,152.87472831796498,140.031732729973,150.74970391341134,140.3804902105513,163.770004,40.96982578912716
2023-04-26,163.759995,179.34983078912717,142.96226935708444,152.87472831796498,140.0231745228614,150.74970391341134,140.3804902105513,163.759995,40.96982578912716
2023-04-27,168.410004,179.34983078912717,142.96226935708444,152.87472831796498,143.99917013607498,150.74970391341134,140.3804902105513,168.410004,40.96982578912716
2023-04-28,169.679993,179.34983078912717,144.04035560603754,152.87472831796498,145.08507571019956,151.886515629913,140.3804902105513,169.679993,40.96982578912716
2023-05-01,169.589996,179.34983078912717,143.96395767806573,152.87472831796498,145.00812367049335,151.80595615731127,140.3804902105513,169.589996,40.96982578912716
2023-05-02,168.539993,179.34983078912717,143.07261626041603,151.92821657113973,144.11031738197624,150.86606162849105,139.51133554730956,168.539993,40.96982578912716
2023-05-03,167.449997,178.18992449815664,142.14732501851245,151.92821657113973,143.17831503221296,149.89036796205775,139.51133554730956,167.449997,39.80991949815663
2023-05-05,173.570007,178.18992449815664,147.34256578394852,151.92821657113973,148.41123671318672,155.36860365788445,139.51133554730956,173.570007,39.80991949815663
2023-05-08,173.5,178.11805411997346,147.28313725029156,151.86693848029137,148.351377146271,155.30593793571117,139.45506562927204,173.5,39.738049119973454
2023-05-09,171.770004,178.11805411997346,145.81455374417945,150.3526491655758,146.8721420508385,153.75735781233925,138.06453706605373,171.770004,39.738049119973454
2023-05-10,173.559998,179.97420036636015,147.33406920227281,150.3526491655758,148.40267850607518,155.35964425077898,138.06453706605373,173.559998,41.59419536636014
2023-05-11,173.75,180.17122421063337,147.49536079099803,150.51724529588202,148.56513993754805,155.52972170795283,138.21568098443302,173.75,41.79121921063336
2023-05-12,172.570007,178.947622579727,146.49367162112264,149.49503352132996,147.55618554807856,154.4734685689178,137.277013151041,172.570007,40.567617579727
2023-05-15,172.070007,178.42914423667483,146.0692245397097,149.49503352132996,147.12865996552446,154.02590102443452,137.277013151041,172.070007,40.04913923667482
2023-05-16,172.070007,178.42914423667483,146.0692245397097,149.49503352132996,147.12865996552446,154.02590102443452,137.277013151041,172.070007,40.04913923667482
2023-05-17,172.690002,178.42914423667483,146.59553467619094,149.49503352132996,147.6587874126357,154.58088030391835,137.277013151041,172.690002,40.04913923667482
2023-05-18,175.050003,178.42914423667483,148.59892574935418,149.49503352132996,149.6767090173422,156.6934000090147,137.277013151041,175.050003,40.04913923667482
2023-05-19,175.160004,178.42914423667483,148.69230495615918,149.49503352132996,149.77076550055526,156.79186576393613,137.277013151041,175.160004,40.04913923667482
2023-05-22,174.199997,178.42914423667483,147.87736061758721,148.6756896336368,148.94991039669324,155.93252981258254,136.5246330953515,174.199997,40.04913923667482
2023-05-23,171.559998,175.72505255775434,145.63628087662104,148.6756896336368,146.6925761758588,153.56937407284573,136.5246330953515,171.559998,37.34504755775433
2023-05-24,171.839996,175.72505255775434,145.63628087662104,148.6756896336368,146.93198879198675,153.8200101074862,136.5246330953515,171.839996,37.34504755775433
2023-05-25,172.990005,175.72505255775434,146.61092611424453,148.6756896336368,147.91530532732165,153.8200101074862,136.5246330953515,172.990005,37.34504755775433
2023-05-26,175.429993,175.72505255775434,148.67884269929604,148.6756896336368,150.00161990957164,153.8200101074862,136.5246330953515,175.429993,37.34504755775433
2023-05-30,177.300003,177.59820776863967,150.26369667940256,148.6756896336368,151.60057413883564,153.8200101074862,136.5246330953515,177.300003,39.21820276863966
2023-05-31,177.25,177.54812066749588,150.22131858860772,148.6756896336368,151.55781901542673,153.77662904806567,136.5246330953515,177.25,39.16811566749587
2023-06-01,180.089996,180.39289331913596,152.62824633984255,151.05785247627023,153.98616090412932,156.24052191909524,138.71210509474372,180.089996,42.01288831913595
2023-06-02,180.949997,180.39289331913596,153.357106617459,151.77921350171798,154.72150576117352,156.9866322421303,139.3745102907191,180.949997,42.01288831913595
2023-06-05,179.580002,180.39289331913596,152.19602083263646,150.6300741425099,153.55008994023115,155.79806686603607,138.3192884869534,179.580002,42.01288831913595
2023-06-06,179.210007,180.02122349053434,151.88244601305286,150.6300741425099,153.2337252843969,155.47707062420452,138.3192884869534,179.210007,41.64121849053433
2023-06-14,183.949997,180.02122349053434,155.89963951317594,150.6300741425099,157.2866592564981,159.58933964491845,138.3192884869534,183.949997,41.64121849053433
2023-06-15,186.009995,182.03722439510653,157.6455104065463,152.31693283527423,159.04806294651866,161.37653032636138,139.8682825738875,186.009995,43.65721939510652
2023-06-16,184.919998,182.03722439510653,156.7217259969687,151.42437327233432,158.1160597417042,160.4308825727224,139.0486706578682,184.919998,43.65721939510652
2023-06-20,185.009995,182.03722439510653,156.79799944130733,151.42437327233432,158.19301178141046,160.50896119209867,139.0486706578682,185.009995,43.65721939510652
2023-06-21,183.960007,181.00410777257935,155.90812309793796,151.42437327233432,157.29521831866083,159.59802401195242,139.0486706578682,183.960007,42.624102772579334
2023-06-22,187.0,183.99525367202418,158.48455049968769,151.42437327233432,159.8945678752316,162.23542810712712,139.0486706578682,187.0,45.615248672024165
2023-06-23,186.679993,183.68038859639944,158.21334105823448,151.16524568186503,159.6209455170388,161.9577999111791,138.81072120358365,186.679993,45.30038359639943
2023-06-26,185.270004,183.68038859639944,157.01835991986815,151.16524568186503,158.41533277979906,160.73453697512917,138.81072120358365,185.270004,45.30038359639943
2023-06-27,188.059998,186.4464444664129,159.38291042781907,151.16524568186503,160.80092040014392,163.15504965430733,138.81072120358365,188.059998,48.0664394664129
2023-06-28,189.25,186.4464444664129,160.39145017147538,152.1217858637484,161.818432996725,164.1874586592182,139.68908469188756,189.25,48.0664394664129
2023-06-29,189.589996,186.4464444664129,160.67960050961278,152.3950793839943,162.10914697265713,164.48242869459102,139.940042314286,189.589996,48.0664394664129
2023-06-30,193.970001,186.4464444664129,164.39170277491428,155.91578840746666,165.8542753510868,168.28238584050735,143.17300870475304,193.970001,48.0664394664129
2023-07-03,192.460007,184.99501893146322,163.11196630246923,154.70203419915202,164.56315322208044,166.97236165318546,142.05845293328545,192.460007,46.61501393146321
2023-07-05,191.330002,183.90884368068686,162.15427467419437,153.7937204415036,163.59694113025236,165.99200419362293,141.22437439089572,191.330002,45.528838680686846
2023-07-17,193.990005,183.90884368068686,164.40865638426294,153.7937204415036,165.87137979459365,168.29974069346915,141.22437439089572,193.990005,45.528838680686846
2023-07-18,193.729996,183.66234667927398,164.18829590570212,153.7937204415036,165.64905879620503,168.07416491043864,141.22437439089572,193.729996,45.28234167927397
2023-07-19,195.100006,183.66234667927398,165.34939440318917,153.7937204415036,166.82048744291492,169.2627433000699,141.22437439089572,195.100006,45.28234167927397
2023-07-20,193.130005,183.66234667927398,163.67979695415744,153.7937204415036,165.1360357926006,167.55363123800322,141.22437439089572,193.130005,45.28234167927397
2023-07-21,191.940002,182.53068024797358,162.67125636299014,153.7937204415036,164.11852234096835,166.5212213655232,141.22437439089572,191.940002,44.15067524797357
2023-07-24,192.75,183.3009703615451,163.35773854981178,153.7937204415036,164.81111207460367,166.5212213655232,141.22437439089572,192.75,44.920965361545086
2023-07-25,193.619995,184.12831629000004,164.09506885201486,153.7937204415036,165.55500231299195,166.5212213655232,141.22437439089572,193.619995,45.74831129000003
2023-07-26,194.5,184.96518150620244,164.84088273897999,153.7937204415036,166.307451613543,166.5212213655232,141.22437439089572,194.5,46.58517650620243
2023-07-27,193.220001,184.96518150620244,163.75606955098505,153.7937204415036,165.21298697725567,165.42534991654298,141.22437439089572,193.220001,46.58517650620243
2023-07-28,195.830002,187.46367703563976,165.96807401776974,153.7937204415036,167.44467137323923,167.65990289487326,141.22437439089572,195.830002,49.08367203563975
2023-07-31,196.449997,188.05718436984134,166.49352657866308,153.7937204415036,167.9747988203505,168.1907117619196,141.22437439089572,196.449997,49.677179369841326
2023-08-01,195.610001,188.05718436984134,165.7816207579062,153.7937204415036,167.25655926186425,167.47154898627872,141.22437439089572,195.610001,49.677179369841326
2023-08-23,181.119995,174.1266607977766,153.5011817865277,153.7937204415036,154.86686274913959,155.0659268952054,141.22437439089572,181.119995,35.74665579777658
2023-08-24,176.380005,169.5696894323851,153.5011817865277,153.7937204415036,154.86686274913959,155.0659268952054,141.22437439089572,176.380005,31.189684432385093
2023-08-25,178.610001,169.5696894323851,153.5011817865277,153.7937204415036,154.86686274913959,155.0659268952054,141.22437439089572,178.610001,31.189684432385093
2023-08-28,180.190002,171.0697189792908,153.5011817865277,155.15419427124897,154.86686274913959,155.0659268952054,141.22437439089572,180.190002,32.68971397929079
2023-08-29,184.119995,171.0697189792908,153.5011817865277,158.5381494887346,154.86686274913959,158.4479569771889,141.22437439089572,184.119995,32.68971397929079
